CP_ID	VERSION_SQNO	STAGE_SQNO	ITEM_CLASS	ITEM_SQNO	INSTRUCTION	REQUIRED	CHECKED
4,621	1	1	医嘱	0		0	0
4,621	1	1	医嘱	1		0	0
4,621	1	1	医嘱	2		0	0
4,621	1	1	医嘱	3		0	0
4,621	1	1	医嘱	4		0	0
4,621	1	1	医嘱	5		0	0
4,621	1	1	医嘱	6		0	0
4,621	1	1	医嘱	7		0	0
4,621	1	1	医嘱	8		0	0
4,621	1	1	医嘱	9		0	0
4,621	1	1	医嘱	10		0	0
4,621	1	1	医嘱	11		0	0
4,621	1	1	医嘱	12		0	0
4,621	1	1	医嘱	13		0	0
4,621	1	1	医嘱	14		0	0
4,621	1	1	医嘱	15		0	0
4,621	1	1	医嘱	16		0	0
4,621	1	1	医嘱	17		0	0
4,621	1	1	医嘱	18		0	0
4,621	1	1	医嘱	19		0	0
4,621	1	1	医嘱	20	疝囊颈与腹壁下动脉关系	0	0
4,621	1	1	医嘱	21		0	0
4,621	1	2	医嘱	0		0	0
4,621	1	2	医嘱	1		0	0
4,621	1	2	医嘱	2		0	0
4,621	1	2	医嘱	3		0	0
4,621	1	2	医嘱	4		0	0
4,621	1	2	医嘱	5		0	0
4,621	1	2	医嘱	6	术中	0	0
4,621	1	2	医嘱	7	术中	0	0
4,621	1	2	医嘱	8	术中	0	0
4,621	1	2	医嘱	9	术中	0	0
4,621	1	2	医嘱	10	术中	0	0
4,621	1	2	医嘱	11		0	0
4,621	1	2	医嘱	12		0	0
4,621	1	2	医嘱	13		0	0
4,621	1	2	医嘱	14		0	0
4,621	1	2	医嘱	15		0	0
4,621	1	2	医嘱	16		0	0
4,621	1	2	医嘱	17		0	0
4,621	1	2	医嘱	18		0	0
4,621	1	3	医嘱	0		0	0
4,621	1	3	医嘱	1		0	0
4,621	1	3	医嘱	2		0	0
4,621	1	3	医嘱	3		0	0
4,621	1	3	医嘱	4		0	0
4,621	1	3	医嘱	5		0	0
4,621	1	3	医嘱	6		0	0
4,621	1	3	医嘱	7		0	0
4,621	1	3	医嘱	8		0	0
4,621	1	3	医嘱	9		0	0
4,621	1	3	医嘱	10		0	0
4,621	1	3	医嘱	11		0	0
4,621	1	3	医嘱	12		0	0
4,621	1	3	医嘱	13		0	0
4,621	1	3	医嘱	14		0	0
4,621	1	3	医嘱	15		0	0
4,621	1	3	医嘱	16		0	0
4,621	1	3	医嘱	17		0	0
4,621	1	3	医嘱	18		0	0
4,621	1	3	医嘱	19		0	0
4,621	1	3	医嘱	20		0	0
4,621	1	3	医嘱	21		0	0
4,621	1	4	医嘱	0		0	0
4,621	1	4	医嘱	1		0	0
4,621	1	5	医嘱	0		0	0
4,621	1	5	医嘱	1		0	0
4,621	1	5	医嘱	2		0	0
4,621	1	5	医嘱	3		0	0
4,621	2	1	医嘱	0		0	0
4,621	2	1	医嘱	1		0	0
4,621	2	1	医嘱	2		0	0
4,621	2	1	医嘱	3		0	0
4,621	2	1	医嘱	4		0	0
4,621	2	1	医嘱	5		0	0
4,621	2	1	医嘱	6		0	0
4,621	2	1	医嘱	7		0	0
4,621	2	1	医嘱	8		0	0
4,621	2	1	医嘱	9		0	0
4,621	2	1	医嘱	10		0	0
4,621	2	1	医嘱	11		0	0
4,621	2	1	医嘱	12		0	0
4,621	2	1	医嘱	13		0	0
4,621	2	1	医嘱	14		0	0
4,621	2	1	医嘱	15		0	0
4,621	2	1	医嘱	16		0	0
4,621	2	1	医嘱	17		0	0
4,621	2	1	医嘱	18		0	0
4,621	2	1	医嘱	19		0	0
4,621	2	1	医嘱	20	疝囊颈与腹壁下动脉关系	0	0
4,621	2	1	医嘱	21		0	0
4,621	2	2	医嘱	0		0	0
4,621	2	2	医嘱	1		0	0
4,621	2	2	医嘱	2		0	0
4,621	2	2	医嘱	3		0	0
4,621	2	2	医嘱	4		0	0
4,621	2	2	医嘱	5		0	0
4,621	2	2	医嘱	6	术中	0	0
4,621	2	2	医嘱	7	术中	0	0
4,621	2	2	医嘱	8	术中	0	0
4,621	2	2	医嘱	9	术中	0	0
4,621	2	2	医嘱	10	术中	0	0
4,621	2	2	医嘱	11		0	0
4,621	2	2	医嘱	12		0	0
4,621	2	2	医嘱	13		0	0
4,621	2	2	医嘱	14		0	0
4,621	2	2	医嘱	15		0	0
4,621	2	2	医嘱	16		0	0
4,621	2	2	医嘱	17		0	0
4,621	2	2	医嘱	18		0	0
4,621	2	3	医嘱	0		0	0
4,621	2	3	医嘱	1		0	0
4,621	2	3	医嘱	2		0	0
4,621	2	3	医嘱	3		0	0
4,621	2	3	医嘱	4		0	0
4,621	2	3	医嘱	5		0	0
4,621	2	3	医嘱	6		0	0
4,621	2	3	医嘱	7		0	0
4,621	2	3	医嘱	8		0	0
4,621	2	3	医嘱	9		0	0
4,621	2	3	医嘱	10		0	0
4,621	2	3	医嘱	11		0	0
4,621	2	3	医嘱	12		0	0
4,621	2	3	医嘱	13		0	0
4,621	2	3	医嘱	14		0	0
4,621	2	3	医嘱	15		0	0
4,621	2	3	医嘱	16		0	0
4,621	2	3	医嘱	17		0	0
4,621	2	3	医嘱	18		0	0
4,621	2	3	医嘱	19		0	0
4,621	2	3	医嘱	20		0	0
4,621	2	3	医嘱	21		0	0
4,621	2	4	医嘱	0		0	0
4,621	2	4	医嘱	1		0	0
4,621	2	5	医嘱	0		0	0
4,621	2	5	医嘱	1		0	0
4,621	2	5	医嘱	2		0	0
4,621	2	5	医嘱	3		0	0
4,621	3	1	医嘱	0		0	0
4,621	3	1	医嘱	1		0	0
4,621	3	1	医嘱	2		0	0
4,621	3	1	医嘱	3		0	0
4,621	3	1	医嘱	4		0	0
4,621	3	1	医嘱	5		0	0
4,621	3	1	医嘱	6		0	0
4,621	3	1	医嘱	7		0	0
4,621	3	1	医嘱	8		0	0
4,621	3	1	医嘱	9		0	0
4,621	3	1	医嘱	10		0	0
4,621	3	1	医嘱	11		0	0
4,621	3	1	医嘱	12		0	0
4,621	3	1	医嘱	13		0	0
4,621	3	1	医嘱	14		0	0
4,621	3	1	医嘱	15		0	0
4,621	3	1	医嘱	16		0	0
4,621	3	1	医嘱	17		0	0
4,621	3	1	医嘱	18		0	0
4,621	3	1	医嘱	19		0	0
4,621	3	1	医嘱	20	疝囊颈与腹壁下动脉关系	0	0
4,621	3	1	医嘱	21		0	0
4,621	3	2	医嘱	0		0	0
4,621	3	2	医嘱	1		0	0
4,621	3	2	医嘱	2		0	0
4,621	3	2	医嘱	3		0	0
4,621	3	2	医嘱	4		0	0
4,621	3	2	医嘱	5		0	0
4,621	3	2	医嘱	6	术中	0	0
4,621	3	2	医嘱	7	术中	0	0
4,621	3	2	医嘱	8	术中	0	0
4,621	3	2	医嘱	9	术中	0	0
4,621	3	2	医嘱	10	术中	0	0
4,621	3	2	医嘱	11		0	0
4,621	3	2	医嘱	12		0	0
4,621	3	2	医嘱	13		0	0
4,621	3	2	医嘱	14		0	0
4,621	3	2	医嘱	15		0	0
4,621	3	2	医嘱	16		0	0
4,621	3	2	医嘱	17		0	0
4,621	3	2	医嘱	18		0	0
4,621	3	3	医嘱	0		0	0
4,621	3	3	医嘱	1		0	0
4,621	3	3	医嘱	2		0	0
4,621	3	3	医嘱	3		0	0
4,621	3	3	医嘱	4		0	0
4,621	3	3	医嘱	5		0	0
4,621	3	3	医嘱	6		0	0
4,621	3	3	医嘱	7		0	0
4,621	3	3	医嘱	8		0	0
4,621	3	3	医嘱	9		0	0
4,621	3	3	医嘱	10		0	0
4,621	3	3	医嘱	11		0	0
4,621	3	3	医嘱	12		0	0
4,621	3	3	医嘱	13		0	0
4,621	3	3	医嘱	14		0	0
4,621	3	3	医嘱	15		0	0
4,621	3	3	医嘱	16		0	0
4,621	3	3	医嘱	17		0	0
4,621	3	3	医嘱	18		0	0
4,621	3	3	医嘱	19		0	0
4,621	3	3	医嘱	20		0	0
4,621	3	3	医嘱	21		0	0
4,621	3	4	医嘱	0		0	0
4,621	3	4	医嘱	1		0	0
4,621	3	5	医嘱	0		0	0
4,621	3	5	医嘱	1		0	0
4,621	3	5	医嘱	2		0	0
4,621	3	5	医嘱	3		0	0
4,621	4	1	医嘱	0		0	0
4,621	4	1	医嘱	1		0	0
4,621	4	1	医嘱	2		0	0
4,621	4	1	医嘱	3		0	0
4,621	4	1	医嘱	4		0	0
4,621	4	1	医嘱	5		0	0
4,621	4	1	医嘱	6		0	0
4,621	4	1	医嘱	7		0	0
4,621	4	1	医嘱	8		0	0
4,621	4	1	医嘱	9		0	0
4,621	4	1	医嘱	10		0	0
4,621	4	1	医嘱	11		0	0
4,621	4	1	医嘱	12		0	0
4,621	4	1	医嘱	13		0	0
4,621	4	1	医嘱	14		0	0
4,621	4	1	医嘱	15		0	0
4,621	4	1	医嘱	16		0	0
4,621	4	1	医嘱	17		0	0
4,621	4	1	医嘱	18		0	0
4,621	4	1	医嘱	19		0	0
4,621	4	1	医嘱	20	疝囊颈与腹壁下动脉关系	0	0
4,621	4	1	医嘱	21		0	0
4,621	4	2	医嘱	0		0	0
4,621	4	2	医嘱	1		0	0
4,621	4	2	医嘱	2		0	0
4,621	4	2	医嘱	3		0	0
4,621	4	2	医嘱	4		0	0
4,621	4	2	医嘱	5		0	0
4,621	4	2	医嘱	6	术中	0	0
4,621	4	2	医嘱	7	术中	0	0
4,621	4	2	医嘱	8	术中	0	0
4,621	4	2	医嘱	9	术中	0	0
4,621	4	2	医嘱	10	术中	0	0
4,621	4	2	医嘱	11		0	0
4,621	4	2	医嘱	12		0	0
4,621	4	2	医嘱	13		0	0
4,621	4	2	医嘱	14		0	0
4,621	4	2	医嘱	15		0	0
4,621	4	2	医嘱	16		0	0
4,621	4	2	医嘱	17		0	0
4,621	4	2	医嘱	18		0	0
4,621	4	3	医嘱	0		0	0
4,621	4	3	医嘱	1		0	0
4,621	4	3	医嘱	2		0	0
4,621	4	3	医嘱	3		0	0
4,621	4	3	医嘱	4		0	0
4,621	4	3	医嘱	5		0	0
4,621	4	3	医嘱	6		0	0
4,621	4	3	医嘱	7		0	0
4,621	4	3	医嘱	8		0	0
4,621	4	3	医嘱	9		0	0
4,621	4	3	医嘱	10		0	0
4,621	4	3	医嘱	11		0	0
4,621	4	3	医嘱	12		0	0
4,621	4	3	医嘱	13		0	0
4,621	4	3	医嘱	14		0	0
4,621	4	3	医嘱	15		0	0
4,621	4	3	医嘱	16		0	0
4,621	4	3	医嘱	17		0	0
4,621	4	3	医嘱	18		0	0
4,621	4	3	医嘱	19		0	0
4,621	4	3	医嘱	20		0	0
4,621	4	3	医嘱	21		0	0
4,621	4	4	医嘱	0		0	0
4,621	4	4	医嘱	1		0	0
4,621	4	5	医嘱	0		0	0
4,621	4	5	医嘱	1		0	0
4,621	4	5	医嘱	2		0	0
4,621	4	5	医嘱	3		0	0
